Times: 11.115s   1
[INFO]:  servoControl id:2, pwm:1500

Times: 12.976s   154
[INFO]:  servoControl id:0, pwm:2500

Times: 17.611s   155
[INFO]:  THREE

Times: 17.611s   156
[INFO]:  servoControl id:2, pwm:1100

Times: 17.721s   157
[INFO]:  servoControl id:2, pwm:1500

Times: 17.731s   158
[INFO]:  servoControl id:0, pwm:2500

Times: 25.661s   159
[INFO]:  servoControl id:0, pwm:1500

Times: 26.111s   160
[INFO]:  THREE

Times: 26.111s   161
[INFO]:  servoControl id:2, pwm:1100

Times: 26.221s   162
[INFO]:  servoControl id:2, pwm:1500

Times: 26.231s   163
[INFO]:  servoControl id:0, pwm:2500

Times: 1.500s   164
[INFO]:  cmdTaskStart is running

Times: 1.500s cmdTask   165
[ERROR]:  uartid: 2, err: 7

Times: 1.500s   166
[INFO]:  armTaskStart is running

Times: 1.500s   167
[INFO]:  EEPROM Test Pass

Times: 1.502s   168
[INFO]:  LCD ID:7789

Times: 1.635s   169
[INFO]:  Read TP Adjust Data xfac:-11.13, yfac:15.09, xc:2025, yc:1941, inited: 10

Times: 1.636s   170
[INFO]:  Read TP Adjust Data OK!

Times: 1.639s   171
[INFO]:  displayTaskStart is running

Times: 2.100s   172
[INFO]:  motorTaskStart is running

Times: 2.102s   173
[INFO]:  kp:16.00,ki:1.58,kd:0.70

Times: 2.102s   174
[INFO]:  pid init from eeprom

Times: 2.102s   175
[INFO]:  gyro is initialing, angle = 0.010986, offset = 0.000000

Times: 2.102s   176
[INFO]:  gyro is initialized

Times: 2.500s   177
[INFO]:  bspTaskStart is running

Times: 5.888s   178
[INFO]:  servoControl id:0, pwm:1500

Times: 6.634s   179
[INFO]:  servoControl id:0, pwm:1500

Times: 8.321s   180
[INFO]:  servoControl id:0, pwm:1500

Times: 16.435s   181
[INFO]:  THREE

Times: 16.435s   182
[INFO]:  servoControl id:2, pwm:1100

Times: 16.545s   183
[INFO]:  servoControl id:2, pwm:1500

Times: 16.555s   184
[INFO]:  servoControl id:0, pwm:2500

Times: 17.605s   185
[INFO]:  THREE

Times: 17.605s   186
[INFO]:  servoControl id:2, pwm:1100

Times: 17.715s   187
[INFO]:  servoControl id:2, pwm:1500

